Time,CHIRPS1,Actual,Selaud
01/01/2015,30.15979,,15.053095
02/01/2015,10.053264,,30.10619
03/01/2015,0,,30.10619
04/01/2015,0,,0
05/01/2015,0,,0
06/01/2015,6.0031056,,10.640959
07/01/2015,0,,0
08/01/2015,0,,0
09/01/2015,0,,0
10/01/2015,6.0031056,,0
11/01/2015,0,,0
12/01/2015,10.063841,,0
13/01/2015,0,,0
14/01/2015,0,,0
15/01/2015,10.063841,,0
16/01/2015,0,,0
17/01/2015,0,,0
18/01/2015,18.298658,,0
19/01/2015,27.447987,,0
20/01/2015,18.298658,,30.518
21/01/2015,29.496769,,44.627644
22/01/2015,0,,22.313822
23/01/2015,0,,0
24/01/2015,0,,0
25/01/2015,0,,0
26/01/2015,0,,0
27/01/2015,0,,11.551654
28/01/2015,0,,0
29/01/2015,0,,0
30/01/2015,0,,0
31/01/2015,3.9209719,,11.551654
01/02/2015,0,,0
02/02/2015,7.0395446,,11.341831
03/02/2015,0,,0
04/02/2015,0,,0
05/02/2015,0,,0
06/02/2015,0,,0
07/02/2015,0,,0
08/02/2015,0,,0
09/02/2015,0,,0
10/02/2015,0,,0
11/02/2015,0,,0
12/02/2015,0,,0
13/02/2015,0,,0
14/02/2015,0,,0
15/02/2015,0,,0
16/02/2015,1.259069,,0
17/02/2015,0,,0
18/02/2015,0,,0
19/02/2015,0,,3.4813154
20/02/2015,0,,3.4813154
21/02/2015,0,,0
22/02/2015,0,,0
23/02/2015,0,,0
24/02/2015,0,,0
25/02/2015,0,,0
26/02/2015,0,,0
27/02/2015,0,,0
28/02/2015,0,,0
01/03/2015,0,,0
02/03/2015,0,,0
03/03/2015,0,,26.541534
04/03/2015,0,,0
05/03/2015,14.468472,,0
06/03/2015,0,,0
07/03/2015,0,,0
08/03/2015,0,,0
09/03/2015,0,,0
10/03/2015,0,,0
11/03/2015,0,,0
12/03/2015,0,,0
13/03/2015,0,,0
14/03/2015,0,,0
15/03/2015,0,,0
16/03/2015,0,,0
17/03/2015,0,,0
18/03/2015,0,,0
19/03/2015,0,,0
20/03/2015,0,,0
21/03/2015,0,,0
22/03/2015,0,,0
23/03/2015,0,,0
24/03/2015,0,,0
25/03/2015,0,,0
26/03/2015,0,,0
27/03/2015,0,,0
28/03/2015,0,,0
29/03/2015,0,,0
30/03/2015,0,,0
31/03/2015,0,,0
01/04/2015,0,,6.9660683
02/04/2015,0,,0
03/04/2015,0,,0
04/04/2015,3.5419304,,0
05/04/2015,0,,6.9660683
06/04/2015,0,,0
07/04/2015,0,,0
08/04/2015,0,,20.484602
09/04/2015,0,,0
10/04/2015,0,,0
11/04/2015,0,,0
12/04/2015,0,,0
13/04/2015,0,,0
14/04/2015,0,,0
15/04/2015,0,,0
16/04/2015,7.382673,,0
17/04/2015,0,,7.2124133
18/04/2015,0,,0
19/04/2015,14.765346,,21.63724
20/04/2015,0,,0
21/04/2015,0,,0
22/04/2015,0,,0
23/04/2015,0,,0
24/04/2015,0,,0
25/04/2015,0,,0
26/04/2015,0,,8.829923
27/04/2015,0,,0
28/04/2015,7.8924975,,0
29/04/2015,15.784995,,8.829923
30/04/2015,7.8924975,,17.659845
01/05/2015,0,,0
02/05/2015,2.42806,,0
03/05/2015,5.5498514,,8.279343
04/05/2015,4.85612,,7.2444243
05/05/2015,4.85612,,14.488849
06/05/2015,4.608288,,16.373232
07/05/2015,0,,0
08/05/2015,0,,0
09/05/2015,0,,0
10/05/2015,4.608288,,0
11/05/2015,0,,0
12/05/2015,0,,0
13/05/2015,11.680674,,0
14/05/2015,11.680674,,5.5670223
15/05/2015,0,,11.134045
16/05/2015,0,,0
17/05/2015,0,,0
18/05/2015,0,,13.711581
19/05/2015,0,,13.711581
20/05/2015,11.939358,,13.711581
21/05/2015,0,,7.7692904
22/05/2015,16.26095,,0
23/05/2015,0,,0
24/05/2015,8.130475,,7.7692904
25/05/2015,24.391426,,15.538581
26/05/2015,4.6109567,,7.7526393
27/05/2015,0,,0
28/05/2015,0,,3.8763196
29/05/2015,4.6109567,,0
30/05/2015,4.6109567,,3.8763196
31/05/2015,0,,3.8763196
01/06/2015,12.545885,,4.430262
02/06/2015,12.545885,,13.290787
03/06/2015,0,,0
04/06/2015,0,,4.430262
05/06/2015,12.545885,,8.860524
06/06/2015,10.41558,,0
07/06/2015,10.41558,,0
08/06/2015,0,,0
09/06/2015,10.41558,,18.330162
10/06/2015,0,,0
11/06/2015,10.520687,,2.1143215
12/06/2015,5.2603436,,4.228643
13/06/2015,26.30172,,4.228643
14/06/2015,21.041374,,4.228643
15/06/2015,15.78103,,6.3429646
16/06/2015,70.91652,,35.938705
17/06/2015,30.392796,,28.750963
18/06/2015,0,,0
19/06/2015,0,,0
20/06/2015,0,,0
21/06/2015,0,,23.174675
22/06/2015,23.486902,,0
23/06/2015,0,,7.724891
24/06/2015,0,,0
25/06/2015,0,,0
26/06/2015,0,,0
27/06/2015,0,,0
28/06/2015,0,,7.0919876
29/06/2015,18.177687,,7.0919876
30/06/2015,0,,0
01/07/2015,9.22542,,6.9598756
02/07/2015,13.838129,,6.9598756
03/07/2015,4.61271,,0
04/07/2015,9.22542,,20.879627
05/07/2015,9.22542,,6.9598756
06/07/2015,0,,0
07/07/2015,0,,0
08/07/2015,6.4434075,,6.7898755
09/07/2015,32.217033,,20.369627
10/07/2015,0,,0
11/07/2015,0,,0
12/07/2015,0,,10.27113
13/07/2015,24.348192,,10.27113
14/07/2015,0,,15.406694
15/07/2015,0,,5.135565
16/07/2015,3.236805,,5.6060367
17/07/2015,0,,5.6060367
18/07/2015,0,,0
19/07/2015,0,,0
20/07/2015,0,,0
21/07/2015,0,,0
22/07/2015,34.81255,,12.710645
23/07/2015,0,,0
24/07/2015,34.81255,,12.710645
25/07/2015,0,,12.710645
26/07/2015,33.459034,,5.3656425
27/07/2015,11.153011,,5.3656425
28/07/2015,11.153011,,16.096928
29/07/2015,11.153011,,0
30/07/2015,11.153011,,0
31/07/2015,33.459034,,16.096928
01/08/2015,29.819895,,0
02/08/2015,0,,0
03/08/2015,29.819895,,9.446051
04/08/2015,39.75986,,28.338152
05/08/2015,19.87993,,28.338152
06/08/2015,19.232635,,17.988903
07/08/2015,14.424476,,11.992602
08/08/2015,10.990078,,13.705832
09/08/2015,4.808159,,11.992602
10/08/2015,4.808159,,5.996301
11/08/2015,0,,0
12/08/2015,4.561146,,0
13/08/2015,9.122292,,10.646311
14/08/2015,4.561146,,0
15/08/2015,4.561146,,10.646311
16/08/2015,0,,0
17/08/2015,10.058351,,15.1428
18/08/2015,5.0291753,,0
19/08/2015,0,,0
20/08/2015,0,,0
21/08/2015,6.715784,,0
22/08/2015,0,,0
23/08/2015,0,,7.2435226
24/08/2015,13.431568,,10.865284
25/08/2015,3.357892,,0
26/08/2015,8.812693,,0
27/08/2015,0,,0
28/08/2015,0,,0
29/08/2015,0,,16.139154
30/08/2015,35.25077,,32.27831
31/08/2015,0,,0
01/09/2015,0,,0
02/09/2015,0,,0
03/09/2015,0,,0
04/09/2015,8.104527,,3.5802748
05/09/2015,8.104527,,7.1605496
06/09/2015,19.832022,,13.384407
07/09/2015,9.916011,,26.768814
08/09/2015,9.916011,,0
09/09/2015,9.916011,,13.384407
10/09/2015,9.916011,,13.384407
11/09/2015,0,,0
12/09/2015,0,,0
13/09/2015,0,,0
14/09/2015,12.295329,,0
15/09/2015,24.590658,,14.937428
16/09/2015,4.259459,,0
17/09/2015,0,,0
18/09/2015,0,,0
19/09/2015,0,,0
20/09/2015,0,,0
21/09/2015,6.3596935,,0
22/09/2015,19.079079,,4.5027504
23/09/2015,0,,0
24/09/2015,0,,0
25/09/2015,0,,4.5027504
26/09/2015,11.106239,,6.3730783
27/09/2015,3.70208,,6.3730783
28/09/2015,3.70208,,0
29/09/2015,3.70208,,6.3730783
30/09/2015,3.70208,,0
01/10/2015,0,,7.630956
02/10/2015,21.846218,,15.261912
03/10/2015,0,,7.630956
04/10/2015,0,,0
05/10/2015,7.2820725,,0
06/10/2015,0,,6.2158647
07/10/2015,4.7853813,,6.2158647
08/10/2015,0,,12.431729
09/10/2015,4.7853813,,6.2158647
10/10/2015,9.570763,,6.2158647
11/10/2015,6.8795357,,0
12/10/2015,13.759071,,0
13/10/2015,0,,28.53418
14/10/2015,0,,0
15/10/2015,13.759071,,0
16/10/2015,9.306684,,11.007365
17/10/2015,46.53342,,22.01473
18/10/2015,27.920052,,33.022095
19/10/2015,37.226734,,0
20/10/2015,0,,0
21/10/2015,26.978802,,9.149999
22/10/2015,26.978802,,27.449997
23/10/2015,20.2341,,18.299997
24/10/2015,0,,0
25/10/2015,0,,0
26/10/2015,0,,0
27/10/2015,0,,0
28/10/2015,0,,0
29/10/2015,0,,0
30/10/2015,0,,0
31/10/2015,0,,0
01/11/2015,5.920244,,0
02/11/2015,11.840488,,47.5
03/11/2015,17.760733,,7.5
04/11/2015,0,,56.5
05/11/2015,11.840488,,40.5
06/11/2015,11.087539,,0
07/11/2015,5.5437694,,0
08/11/2015,16.631308,,0.5
09/11/2015,5.5437694,,70.5
10/11/2015,22.175077,,3
11/11/2015,11.287578,,0
12/11/2015,0,,0
13/11/2015,5.643789,,0
14/11/2015,0,,0
15/11/2015,5.643789,,0.5
16/11/2015,10.600557,,0
17/11/2015,31.801672,,1
18/11/2015,0,,8
19/11/2015,0,,20
20/11/2015,0,,0
21/11/2015,0,,0
22/11/2015,0,,1.5
23/11/2015,0,,0
24/11/2015,104.615265,,0
25/11/2015,0,,26.5
